locality	type	lat	long	water	urban	agr	natural	bare	bloom.cat	time	wind	temp	hb	bumble	carpenter	hlb	svastra	agtex	ssb.med	ssb.small	sdb.round	sdb.shield	shbb.large	shbb.med	shbb.small	anthidium	cuckoo	total.native	total	min	num.group	shannon	even
arabian	a	37.939948	-121.664398	0	18900	252000	513900	1800	3	am	2.7	80.9	70	0	0	2	0	4	0	0	1	3	0	0	1	0	0	11	81	90	6	0.596646987	0.332995024
arabian	a	37.939948	-121.664398	0	18900	252000	513900	1800	3	mid	1.35	94.3	44	0	0	0	0	1	0	0	0	2	0	1	3	0	0	7	51	90	5	0.575228081	0.357409302
arabian	a	37.939948	-121.664398	0	18900	252000	513900	1800	3	pm	0.8	91.1	24	0	0	0	0	0	0	1	6	2	0	0	0	0	0	9	33	90	4	0.817412316	0.589638347
bdm_f	n	37.965571	-121.828009	0	37800	0	747900	0	3	am	2.3	86.1	34	1	0	7	0	0	0	4	1	0	0	4	0	0	0	17	51	90	6	1.096374971	0.611898522
bdm_f	n	37.965571	-121.828009	0	37800	0	747900	0	3	mid	3.75	87.4	24	0	0	2	0	0	0	0	1	2	0	0	0	0	0	5	29	90	4	0.641575808	0.462799118
bdm_f	n	37.965571	-121.828009	0	37800	0	747900	0	3	pm	3.7	91.45	27	4	1	0	0	0	0	4	1	0	0	0	0	0	0	10	37	90	5	0.906108446	0.562996832
bdm_s	n	37.972209	-121.860931	0	4500	16200	765000	0	4	am	2.4	85.6	40	0	0	9	0	0	1	1	2	0	0	8	1	0	1	23	63	90	8	1.201039075	0.577577706
bdm_s	n	37.972209	-121.860931	0	4500	16200	765000	0	4	mid	2.15	85.4	29	0	0	2	0	0	0	3	3	0	0	5	1	0	0	14	43	90	6	1.117555076	0.623719363
bdm_s	n	37.972209	-121.860931	0	4500	16200	765000	0	4	pm	2.5	92.1	14	0	0	0	0	0	0	2	4	0	0	5	1	0	0	12	26	90	5	1.260963308	0.783480554
bs	a	37.911159	-121.677492	0	198000	558000	32400	0	4	am	0.85	88.95	88	0	0	1	0	0	1	9	2	0	2	2	0	0	0	17	105	90	7	0.673583741	0.346153568
bs	a	37.911159	-121.677492	0	198000	558000	32400	0	4	mid	1.5	89	81	0	0	0	0	0	0	3	8	5	0	0	0	0	0	16	97	90	4	0.616680666	0.444841069
bs	a	37.911159	-121.677492	0	198000	558000	32400	0	4	pm	1.65	94.9	216	0	0	0	0	0	0	7	2	2	0	0	0	0	0	11	227	90	4	0.237927569	0.171628462
castellina	u	37.936894	-121.73757	900	760500	1800	18000	900	2	am	1.4	90	22	0	0	0	0	0	6	15	25	2	0	1	3	0	0	52	74	90	7	1.540169544	0.791490576
castellina	u	37.936894	-121.73757	900	760500	1800	18000	900	2	mid	3.4	92.3	8	0	0	0	0	0	19	13	7	23	0	4	10	0	0	76	84	90	7	1.808995597	0.929639839
castellina	u	37.936894	-121.73757	900	760500	1800	18000	900	2	pm	1.75	92.95	3	0	0	0	0	0	19	0	6	25	0	3	1	0	0	54	57	90	6	1.345534307	0.750956995
