Date	JulianDay	Day	Month	Year	Hour_EST	Buzz_Type	site	autovar	forR	Sum_R
4/11/2014	308	4	11	2014	13	0	1	5	1	0
5/11/2014	309	5	11	2014	1	1	1	17	1	20
5/11/2014	309	5	11	2014	5	0	1	21	1	0
5/11/2014	309	5	11	2014	6	0	1	22	1	0
6/11/2014	310	6	11	2014	9	0	1	49	1	0
6/11/2014	310	6	11	2014	10	1	1	50	1	46
7/11/2014	311	7	11	2014	10	1	1	74	1	41
7/11/2014	311	7	11	2014	11	1	1	75	1	45
9/11/2014	313	9	11	2014	0	1	1	112	1	14
9/11/2014	313	9	11	2014	8	1	1	120	1	59
10/11/2014	314	10	11	2014	15	1	1	151	1	27
11/11/2014	315	11	11	2014	1	1	1	161	1	8
13/11/2014	317	13	11	2014	1	1	1	209	1	43
15/11/2014	319	15	11	2014	14	0	1	270	1	0
15/11/2014	319	15	11	2014	22	0	1	278	1	0
16/11/2014	320	16	11	2014	12	0	1	292	1	0
20/11/2014	324	20	11	2014	18	0	1	394	1	0
22/11/2014	326	22	11	2014	10	0	1	434	1	0
6/12/2014	340	6	12	2014	20	1	1	780	1	100
9/12/2014	343	9	12	2014	23	0	1	855	1	0
12/12/2014	346	12	12	2014	2	1	1	906	1	134
21/12/2014	355	21	12	2014	14	1	1	1134	1	54
22/12/2014	356	22	12	2014	11	0	1	1155	1	0
28/12/2014	362	28	12	2014	17	1	1	1305	1	124
29/12/2014	363	29	12	2014	8	0	1	1320	1	0
30/12/2014	364	30	12	2014	17	1	1	1353	1	125
30/12/2014	364	30	12	2014	20	1	1	1356	1	60
30/12/2014	364	30	12	2014	23	1	1	1359	1	40
31/12/2014	365	31	12	2014	0	0	1	1360	1	0
31/12/2014	365	31	12	2014	2	1	1	1362	1	161
2/1/2015	2	2	1	2015	1	0	1	1409	1	0
2/1/2015	2	2	1	2015	23	0	1	1431	1	0
3/1/2015	3	3	1	2015	0	0	1	1432	1	0
3/1/2015	3	3	1	2015	3	0	1	1435	1	0
3/1/2015	3	3	1	2015	17	1	1	1449	1	15
3/1/2015	3	3	1	2015	23	0	1	1455	1	0
13/01/2015	13	13	1	2015	4	0	1	1676	1	0
13/01/2015	13	13	1	2015	8	0	1	1680	1	0
13/01/2015	13	13	1	2015	18	0	1	1690	1	0
