Date	FTD_A_ludens	SBC_A_ludens	FTD_A_obliqua	SBC_A_obliqua	FTD_A_serpentina	SBC_A_serpentina	AP-MZ	MAT-MZ	AP-JC	MAT-JC	SOI	NAOI
January_1994	0.1075	0.554	0.067	0.688	0.0022	1	69	15.32	173.3	15.05	-0.5	1
February_1994	0.1637	0.377	0.0692	0.639	0.0201	0.048	125.4	17.39	4.2	17.05	-0.1	0.5
March_1994	0	NA	0.1304	0.417	0.25	0.269	21.2	18.39	8.6	17.55	-2.2	1.3
April_1994	0.4464	0.563	0.1406	0.328	0.9643	0.267	73.5	21.97	43	20.77	-2.9	1.1
may-94	0.0222	0.225	1.0201	0.273	2.971	0.285	70.8	24.74	112.5	22.76	-1.7	-0.6
June_1994	0.0089	0.25	1.6107	0.358	2.25	0.333	96.3	24.17	78.7	23.03	-1.5	1.5
July_1994	0.0357	0.448	0.2433	0.334	0.9241	0.503	19.7	23.74	94.4	21.58	-2.9	1.3
August_1994	0	NA	0.0232	0.556	0.0911	0.45	298.6	23.4	117.6	21.61	-3	0.4
September_1994	0.0179	0.25	0.0022	1	0	NA	92.3	23.27	44	20.85	-3	-1.3
October_1994	0.0095	0.333	0	NA	0	NA	175.8	22.76	90	21.16	-2.6	-1
November_1994	0.0298	0.333	0	NA	0	NA	166.2	20.18	49	18.55	-1.2	0.6
December_1994	0.0893	0.163	0	NA	0	NA	105.9	18.53	22.1	18.06	-2.6	2
January_1995	0.1095	0.185	0.0022	0	0.0045	1	117.7	17.19	18.1	16.48	-1	0.9
February_1995	0.5268	0.3	0.1228	0.546	0.0112	0.167	56.6	17.84	3	17.05	-0.8	1.1
March_1995	0.2905	0.323	0.1071	0.37	0.0214	0.522	40.6	19.03	23.9	18.92	0.4	1.3
April_1995	0.6575	0.387	0.0402	0.354	0.0067	0	15.7	20.8	17	22.28	-1.8	-0.9
jun-94	1.5833	0.247	0.0804	0.258	0.0161	0.056	12.8	24.03	177	24.31	-1.2	-1.5
June_1995	0.4321	0.132	0.5603	0.402	0.067	0.119	20.4	23.3	87.8	23.85	-0.4	0.1
July_1995	0.1789	0.479	0.2277	0.461	0.1094	0.349	122.8	22.03	199.4	21.58	0.6	-0.2
August_1995	0.1488	0.308	0.0321	0.481	0.0393	0.521	135.6	22.42	355.6	23.29	-0.1	0.7
September_1995	0.0893	0.271	0.0045	0.5	0	NA	93	21.95	105.8	22.93	0.5	0.3
October_1995	0.0357	0.897	0.0089	0.667	0	NA	467.5	19.47	138.1	21.98	-0.5	0.2
November_1995	0.0268	0.857	0	NA	0	NA	246.1	17.9	52.5	19.22	-0.1	-1.4
December_1995	0.03	0.333	0.0045	1	0.0022	1	111.9	15.39	26.7	16.98	-1.3	-1.7
January_1996	0.0149	0.833	0.0536	0.788	0.0071	0.5	32.4	11.58	1.3	12.37	1.7	-0.1
February_1996	0.0387	0.389	0.2009	0.533	0.1362	0.511	85.5	14.74	15.8	15.14	-0.2	-0.1
March_1996	0.0714	0.486	0.3348	0.592	0.1295	0.183	82.2	15.03	11.7	16.77	1.2	-0.2
April_1996	0.0655	0.35	0.1451	0.454	0.0826	0.128	252.1	19.1	7.1	19.18	1.1	-0.2
jul-94	1.888	0.379	0.1696	0.401	2.5536	0.306	10.1	22.9	11.5	21.98	0.2	-1.1
June_1996	0.3165	0.247	1.067	0.311	6.3705	0.276	137.7	23.18	415.6	21.35	1.6	0.6
July_1996	0.2976	0.237	0.8893	0.523	1.4446	0.422	109.8	24.11	142.6	20.32	1	0.7
August_1996	0.0663	0.621	0.0402	0.5	2.1295	0.429	203.9	24.21	234.2	20.18	0.7	1
September_1996	0.0564	0.222	0	NA	0	NA	89.5	24.15	59	21.33	1	-0.9
