wind1,wind2,wind3,yday1,yday2,yday3
0,0,NA,19,33,NA
0,0,NA,-22,-10,NA
0,0,NA,3,25,NA
1,1,NA,-22,-10,NA
0,0,NA,-2,3,NA
0,0,NA,0,7,NA
0,0,NA,-35,-3,NA
0,0,NA,7,11,NA
1,0,NA,7,11,NA
1,1,1.5,-21,-3,13
0,0,NA,-35,-22,NA
0,0,NA,-21,-2,NA
0,1,NA,-22,-10,NA
0,0,NA,25,32,NA
0.5,0,NA,-30,-14,NA
0,NA,NA,12,NA,NA
0,0,NA,6,12,NA
0,0,NA,18,35,NA
0,0,NA,-15,0,NA
0,0,NA,-2,3,NA
0,0,NA,-21,-3,NA
1,2,NA,-22,-10,NA
0,0,0.5,-2,3,13
0,0,NA,-15,0,NA
0,0,NA,-35,-3,NA
2,0,NA,-31,-14,NA
0,0,NA,19,33,NA
1,0,NA,-20,-3,NA
0,0,0,-21,-2,26
0,0,NA,-1,6,NA
1,0,NA,-31,-16,NA
0,0,NA,15,27,NA
0,1,NA,-1,7,NA
0,1,1,19,27,34
0,0,NA,-31,-21,NA
0,0,NA,-16,-1,NA
0,1,NA,-22,-10,NA
0,0,NA,-21,-3,NA
0,0,NA,-15,-1,NA
1,1,NA,-17,-9,NA
0,0,NA,1,6,NA
1,0,NA,15,34,NA
1,1,NA,27,34,NA
0,1,0,0,7,11
0,1,NA,-30,-16,NA
0,1,NA,0,7,NA
0,0,NA,-24,0,NA
0,0,0,1,6,12
0,NA,NA,11,NA,NA
0,1,NA,0,7,NA
1,2,1,-21,-10,13
0,0,NA,25,32,NA
0,1,0,-35,-10,-3
0,1,NA,-35,-10,NA
1,1,NA,-30,-14,NA
0,0,NA,-16,-1,NA
0,0,NA,26,32,NA
0,1,NA,-17,-9,NA
0,0,NA,26,32,NA
1,1,NA,-30,-21,NA
0,0,NA,-22,-10,NA
0,0,NA,-15,0,NA
1,0,NA,-16,-1,NA
0,0,NA,-21,-2,NA
0,0,NA,0,36,NA
1,0,NA,-20,-3,NA
0,0,NA,0,7,NA
0,0,NA,18,35,NA
0,0,NA,-21,-3,NA
0,0,NA,-13,-1,NA
0,0,NA,13,17,NA
0,0,NA,26,32,NA
0,0,NA,-1,6,NA
0,0,0,-22,-10,26
0,0,NA,25,32,NA
0,0,NA,1,6,NA
0,0,NA,-34,-20,NA
1,0,NA,-20,-3,NA
1.5,0,NA,-29,-16,NA
0,0,NA,-2,3,NA
0,0,NA,-15,-1,NA
0,0,NA,6,12,NA
0,0,NA,0,7,NA
0,0,NA,-21,-3,NA
0,2,NA,34,46,NA
0,0,NA,0,11,NA
1,1,NA,-17,-9,NA
0,0,NA,-15,0,NA
0,0,NA,1,6,NA
1,0,NA,-21,-3,NA
0,1,0,0,7,11
