RainfallJan75m,RainfallJul75m,Dem75mInteger,terrain_ruggedness_index_sept2012,wetness_index_saga_sept2012,topographic_position_index_sept2012,SouthSummerEVI,SouthSummerNDVI
60.37419891,148.1329041,46729,24.55610085,11.86600018,-1.324499965,1.327483892,1.596693039
72.99729919,115.1013031,27323,3.42779994,14.43970013,-0.515100002,1.335354686,1.750427246
71.72579956,148.7297058,48390,15.70829964,10.21389961,6.107600212,1.299152136,1.627701402
79.39990234,140.0921936,60440,8.062299728,10.77840042,2.796299934,1.460805058,1.843306541
73.74069977,141.7816925,28192,10.33199978,14.89169979,-0.662299991,1.337364435,1.802639008
70.06729889,163.1430054,56265,10.67710018,15.5,-3.237699986,1.31014514,1.80304575
78.03720093,136.5895996,54240,18.78829956,10.52690029,1.103800058,1.41624403,1.807151437
73.07420349,184.8320007,74835,13.45359993,10.9282999,1.950000048,1.362182498,1.743171692
75.91770172,194.4163055,86387,22.9727993,9.924500465,5.555699825,1.305059552,1.675826311
82.35150146,181.2425995,93268,11.6189003,11.07610035,-0.294400007,1.333677649,1.832285166
76.0746994,132.6213074,38682,6.670800209,11.5951004,1.913200021,1.36730063,1.803099394
66,82,22207,12.99040031,11.98659992,0.846199989,1.278530478,1.753021598
81,124.0254974,62766,18.07620049,12.28849983,-0.331099987,1.270485401,1.798673868
76.88770294,120.575798,36221,11.1243,12.52789974,-2.612299919,1.318501234,1.775427938
75.45269775,87.21430206,36848,8.81760025,14.09309959,-0.441500008,1.395994902,1.751633883
79,184.747406,84112,23.45739937,10.37790012,2.943399906,1.348555923,1.74380517
79.81600189,167.7462006,69809,20.8567009,10.23919964,0.809400022,1.361006498,1.776536345
59.3390007,105.0784988,36891,7.314400196,11.40460014,3.311300039,1.373821855,1.605228066
80,170.4465027,99995,6.763899803,11.89680004,-0.699100018,1.316417575,1.81157887
73.02110291,145.5018005,37217,6.873899937,15.3142004,-1.50849998,1.299568176,1.782253742
82,158.4665985,74289,12.42980003,10.95390034,1.103800058,1.365504861,1.771854162
