Site	Month	Density	SE	CV	Median_DPH_Per_Day	Sum_Total_DPH	Max_DPH_perday	Proportion_detectionposday
1	1	0.2354518	0.08990052	0.3818213	2	66	11	0.71
1	2	0.1855314	0.07236662	0.3900505	2	84	10	0.86
1	3	0.2881698	0.1036851	0.3598056	3.5	134	12	1
1	4	0.2120981	0.07540282	0.3555092	2	76	7	0.87
1	5	0.03067144	0.01278337	0.4167841	1	31	5	0.55
1	6	0.3055537	0.1317848	0.4312983	0	0	0	0
1	7	0.03144424	0.01806132	0.574392	0	0	0	0
1	8	0.04762789	0.02987746	0.6273102	0	0	0	0
1	9	0.1584363	0.08162473	0.5151896	0	10	3	0.23
1	10	1.314938	0.5609056	0.4265643	0	7	1	0.22
1	11	0.1127493	0.04766611	0.4227619	0	23	3	0.43
1	12	0.1639466	0.05996236	0.3657432	0	16	3	0.32
2	1	3.870035	0.8960791	0.2315429	0	63	11	0.48
2	2	3.68025	0.8118742	0.220603	4	144	15	0.93
2	3	3.579869	0.7476328	0.2088436	2	71	10	0.87
2	4	3.045112	0.6355095	0.2086982	2	57	6	0.73
2	5	0.3786591	0.104944	0.2771464	0	16	4	0.35
2	6	1.039666	0.3134822	0.301522	0	0	0	0
2	7	0.1098679	0.05710619	0.5197714	0	0	0	0
2	8	0.096833	0.05818282	0.6008574	0	0	0	0
2	9	0.2877791	0.1299316	0.4514977	0	0	0	0
2	10	1.019724	0.3285621	0.3222069	0	0	0	0
2	11	0.1210162	0.04338139	0.3584759	0	4	2	0.1
2	12	1.383434	0.3285183	0.2374658	0	5	1	0.16
3	1	11.27566	2.485522	0.2204325	1	79	19	0.64
3	2	12.41921	2.526634	0.2034456	4	151	14	0.93
3	3	10.45714	1.945137	0.1860104	10.5	343	17	0.97
3	4	8.996763	1.671995	0.1858441	2	69	11	0.74
3	5	0.9403684	0.2433816	0.2588152	0	20	8	0.19
3	6	1.090078	0.3142348	0.2882682	0	0	0	0
3	7	0.1156297	0.06437086	0.5566983	0	0	0	0
3	8	0.06944437	0.04522773	0.65128	0	0	0	0
3	9	0.276215	0.1251036	0.4529211	0	1	1	0.03
3	10	1.266096	0.4101284	0.3239315	0	0	0	0
3	11	0.1834453	0.07222278	0.393702	0	1	1	0.03
3	12	2.382799	0.5708766	0.2395824	0	2	1	0.06
4	1	14.08121	3.37139	0.2394247	0	5	1	0.16
4	2	17.53375	3.884229	0.2215287	0	1	1	0.04
4	3	15.28368	3.036712	0.1986898	NA	NA	NA	NA
4	4	12.74208	2.494975	0.1958059	0	3	2	0.25
4	5	1.244425	0.3306274	0.2656869	0	2	1	0.06
4	6	1.060998	0.3210791	0.3026199	0	0	0	0
4	7	0.1037022	0.05980214	0.5766718	0	0	0	0
4	8	0.04494174	0.03083194	0.6860424	0	0	0	0
4	9	0.1774475	0.08193995	0.4617701	0	0	0	0
4	10	1.273014	0.4317085	0.3391231	0	1	1	0.03
4	11	0.1990975	0.08641744	0.4340458	0	0	0	0
4	12	2.168898	0.5789977	0.2669548	0	0	0	0
