Site	Week	Year	DPH_porp	Hours_in_week	Porpotion	SST_median	logCHL_median	lunar_frac_med	lunar_frac_mean
1	45	2014	9	120	0.075	14.63733101	0.948511618	0.96	0.94
1	46	2014	6	168	0.035714286	13.52345896	0.81548976	0.64	0.63
1	47	2014	2	168	0.011904762	10.98465919	1.223357088	0.06	0.09
1	48	2014	0	168	0	10.116786	0.983088457	0.26	0.28
1	49	2014	1	168	0.005952381	9.700111866	NA	0.94	0.9
1	50	2014	2	168	0.011904762	8.160513401	NA	0.79	0.77
1	51	2014	1	168	0.005952381	7.116964579	1.176801133	0.17	0.19
1	52	2014	2	168	0.011904762	6.933779955	NA	0.13	0.17
1	1	2015	12	168	0.071428571	6.480556	1.362532423	0.84	0.53
1	2	2015	0	168	0	5.768831253	1.362532423	0.92	0.89
1	3	2015	16	168	0.095238095	3.965250134	1.196553227	0.33	0.33
1	4	2015	14	168	0.083333333	4.041606188	0.910171248	0.04	0.09
1	5	2015	14	168	0.083333333	3.599833488	1.642447841	0.71	0.69
1	6	2015	5	168	0.029761905	2.432330847	1.702028072	0.97	0.95
1	7	2015	10	168	0.05952381	1.630482495	1.397257065	0.5	0.49
1	8	2015	3	168	0.017857143	0.31006822	0.806179825	0.05	0.06
1	9	2015	2	168	0.011904762	-0.451666698	NA	0.55	0.54
1	10	2015	1	168	0.005952381	-0.256526433	NA	0.98	0.96
1	11	2015	6	168	0.035714286	1.428094625	0.875992565	0.66	0.64
1	12	2015	21	168	0.125	2.460533261	1.111124685	0.05	0.08
1	13	2015	17	168	0.101190476	3.386015892	1.526178802	0.39	0.39
1	14	2015	9	168	0.053571429	4.749758244	2.295802884	0.95	0.92
1	15	2015	16	168	0.095238095	6.279954195	1.588026296	0.8	0.77
1	16	2015	4	168	0.023809524	8.665160179	2.110219154	0.1	0.14
1	17	2015	7	144	0.048611111	9.457317591	2.277247604	0.23	0.25
1	18	2015	3	168	0.017857143	9.882725239	2.444276053	0.86	0.83
1	19	2015	3	168	0.017857143	13.01426172	2.045405225	0.9	0.86
1	20	2015	1	168	0.005952381	14.92536306	2.058775351	0.2	0.23
1	21	2015	2	168	0.011904762	15.64135695	1.509753211	0.11	0.14
1	22	2015	3	168	0.017857143	16.41492271	1.212523231	0.73	0.71
1	23	2015	0	168	0	16.87906361	0.920298707	0.97	0.93
1	24	2015	0	168	0	17.92147827	0.874013912	0.33	0.34
1	25	2015	0	168	0	20.95956421	0.874013912	0.03	0.07
1	26	2015	0	168	0	22.00274754	0.379771857	0.57	0.57
1	27	2015	0	168	0	22.19473362	0.803013612	0.96	0.95
1	28	2015	0	144	0	22.99826003	0.856669402	0.46	0.47
1	29	2015	0	168	0	23.42209911	NA	0.04	0.04
1	30	2015	0	168	0	24.26942444	NA	0.41	0.42
1	31	2015	0	168	0	24.85016441	0.374374782	0.96	0.93
1	32	2015	0	168	0	24.43523026	1.019148734	0.6	0.59
1	33	2015	0	168	0	23.65153885	1.019148734	0.02	0.06
1	34	2015	0	168	0	24.80081463	1.795322281	0.26	0.28
1	35	2015	0	168	0	24.70061779	NA	0.91	0.87
1	36	2015	0	168	0	24.44298744	NA	0.74	0.72
1	37	2015	0	168	0	24.41758251	2.047221833	0.09	0.12
1	38	2015	0	144	0	23.49814701	2.442727438	0.13	0.16
1	39	2015	9	168	0.053571429	21.89973068	NA	0.79	0.77
1	40	2015	3	168	0.017857143	21.12250137	NA	0.86	0.83
1	41	2015	2	168	0.011904762	18.4508028	1.159302955	0.19	0.22
1	42	2015	0	168	0	17.96811104	1.531819996	0.04	0.08
1	43	2015	1	168	0.005952381	NA	1.736121598	0.65	0.64
1	44	2015	3	168	0.017857143	16.22129536	1.085077597	0.96	0.91
1	45	2015	2	168	0.011904762	16.32645798	1.243998106	0.34	0.35
1	46	2015	2	168	0.011904762	15.02269506	1.053542025	0.02	0.04
1	47	2015	0	168	0	14.39570856	1.32600945	0.49	0.5
1	48	2015	0	168	0	12.69094086	0.990385782	0.96	0.95
1	49	2015	0	168	0	11.48594475	0.990385782	0.51	0.51
1	50	2015	0	144	0	11.303828	0.772007128	0.04	0.05
1	51	2015	1	168	0.005952381	11.43556786	0.924257286	0.34	0.36
1	52	2015	0	168	0	11.05416679	NA	0.96	0.93
1	53	2015	6	168	0.035714286	11.05416679	1.457636296	0.69	0.67
1	1	2016	4	168	0.023809524	9.4062	1.457636296	0.09	0.12
1	2	2016	6	168	0.035714286	8.671807766	1.560281876	0.2	0.23
1	3	2016	2	168	0.011904762	5.841470003	0.739238509	0.91	0.87
1	4	2016	2	168	0.011904762	4.863215923	1.598687161	0.84	0.81
1	5	2016	20	168	0.119047619	5.083375692	1.49605756	0.22	0.24
1	6	2016	13	168	0.077380952	5.245797157	1.288077456	0.09	0.14
1	7	2016	4	168	0.023809524	4.214706182	1.288077456	0.8	0.77
1	8	2016	17	144	0.118055556	4.875480891	1.222803502	0.95	0.91
1	9	2016	21	168	0.125	5.543652534	1.104066392	0.38	0.38
1	10	2016	22	168	0.130952381	6.915660143	1.131697676	0.05	0.07
1	11	2016	27	168	0.160714286	7.652122021	1.379312033	0.66	0.64
1	12	2016	17	168	0.101190476	7.890487432	1.30194379	0.97	0.96
1	13	2016	5	168	0.029761905	8.809044361	1.301555163	0.54	0.53
1	14	2016	15	168	0.089285714	8.986002445	1.690638546	0.05	0.06
1	15	2016	13	168	0.077380952	9.162622452	1.690638546	0.51	0.5
1	16	2016	1	168	0.005952381	10.62250376	1.185901143	0.96	0.95
1	17	2016	12	168	0.071428571	11.85093784	1.054250348	0.7	0.68
1	18	2016	16	168	0.095238095	12.56958389	0.459285749	0.04	0.09
1	19	2016	2	168	0.011904762	12.75316715	NA	0.35	0.36
