ID;basal_area;Number_of_stems;mean_stem_basal_area;Xrange;Yrange;RangeAvg;infected;CI_tree
3533;0.002827433;1;0.002827433;0;0;0;0;384.5288736
3337;0.002827433;1;0.002827433;0;0;0;0;83.10073737
3087;0.005026548;1;0.005026548;0;0;0;0;57.02008773
2926;0.007853982;1;0.007853982;0;0;0;0;41.20848377
3361;0.006361725;1;0.006361725;0;0;0;0;37.65613006
2214;0.007853982;1;0.007853982;0;0;0;0;34.03654139
2402;0.007853982;1;0.007853982;0;0;0;0;33.21266025
2033;0.009503318;1;0.009503318;0;0;0;0;30.11349485
3399;0.003848451;1;0.003848451;0;0;0;0;29.17932046
3360;0.009503318;1;0.009503318;0;0;0;0;27.20431502
2101;0.007853982;1;0.007853982;0;0;0;0;27.02557789
2208;0.007853982;1;0.007853982;0;0;0;0;26.29948975
2393;0.011309734;1;0.011309734;0;0;0;0;25.26346477
3291;0.007853982;1;0.007853982;0;0;0;0;24.44208343
3314;0.011309734;1;0.011309734;0;0;0;0;22.44159619
3427;0.009503318;1;0.009503318;0;0;0;0;22.3259164
3396;0.009503318;1;0.009503318;0;0;0;0;21.4253994
2911;0.015393804;1;0.015393804;0;0;0;0;21.11172327
3366;0.007853982;1;0.007853982;0;0;0;0;20.34192637
3558;0.011309734;1;0.011309734;0;0;0;0;20.11887165
3251;0.015393804;1;0.015393804;0;0;0;0;18.98927586
3184;0.015393804;1;0.015393804;0;0;0;0;16.99179587
2575;0.015393804;1;0.015393804;0;0;0;0;16.48227368
2962;0.022698007;1;0.022698007;0;0;0;0;16.328968
2959;0.020106193;1;0.020106193;0;0;0;0;15.16609985
3171;0.015393804;1;0.015393804;0;0;0;0;15.02428081
2990;0.013273229;1;0.013273229;0;0;0;0;14.59293111
2680;0.022698007;1;0.022698007;0;0;0;0;13.84054683
3380;0.017671459;1;0.017671459;0;0;0;0;13.62392812
2042;0.017671459;1;0.017671459;0;0;0;0;13.40614196
2475;0.022698007;1;0.022698007;0;0;0;0;13.39055351
3015;0.015393804;1;0.015393804;0;0;0;0;13.3295914
3312;0.022698007;1;0.022698007;0;0;0;0;13.25519137
2957;0.0254469;1;0.0254469;0;0;0;0;13.18694416
3455;0.017671459;1;0.017671459;0;0;0;0;12.93901594
2937;0.020106193;1;0.020106193;0;0;0;0;12.81507958
2958;0.0254469;1;0.0254469;0;0;0;0;12.81008337
2421;0.020106193;1;0.020106193;0;0;0;0;12.52875239
3140;0.015393804;1;0.015393804;0;0;0;0;12.13090472
78;0.024582963;2;0.012291482;0.086;0.376;0.231;0;12.03474606
2215;0.0254469;1;0.0254469;0;0;0;0;11.76428872
2032;0.0254469;1;0.0254469;0;0;0;0;11.72165115
2349;0.0254469;1;0.0254469;0;0;0;0;11.25405703
2961;0.031415927;1;0.031415927;0;0;0;0;11.24148638
2067;0.0254469;1;0.0254469;0;0;0;1;11.2354164
2529;0.028352874;1;0.028352874;0;0;0;0;11.10498038
3173;0.022698007;1;0.022698007;0;0;0;0;11.06193474
3099;0.020106193;1;0.020106193;0;0;0;0;11.03056202
3322;0.022698007;1;0.022698007;0;0;0;0;10.69039109
2209;0.020106193;1;0.020106193;0;0;0;0;10.47686409
3553;0.015393804;1;0.015393804;0;0;0;0;10.46234588
2045;0.017671459;1;0.017671459;0;0;0;0;10.41448132
2514;0.0254469;1;0.0254469;0;0;0;0;10.26971589
3042;0.031415927;1;0.031415927;0;0;0;0;10.21538304
2249;0.034636059;1;0.034636059;0;0;0;0;10.19795809
3534;0.031415927;1;0.031415927;0;0;0;0;10.03042997
3203;0.022698007;1;0.022698007;0;0;0;0;9.912229247
3259;0.0254469;1;0.0254469;0;0;0;0;9.87830838
3357;0.057255526;1;0.057255526;0;0;0;1;9.871159213
3086;0.0254469;1;0.0254469;0;0;0;0;9.788377566
2924;0.0254469;1;0.0254469;0;0;0;0;9.764265871
3304;0.0254469;1;0.0254469;0;0;0;0;9.727347337
3492;0.0254469;1;0.0254469;0;0;0;0;9.666168111
3172;0.0254469;1;0.0254469;0;0;0;0;9.561288232
2176;0.031415927;1;0.031415927;0;0;0;0;9.453516161
3422;0.022698007;1;0.022698007;0;0;0;0;9.361737081
2989;0.0254469;1;0.0254469;0;0;0;0;9.313680691
2912;0.031415927;1;0.031415927;0;0;0;0;9.271074855
2092;0.031415927;1;0.031415927;0;0;0;0;9.239621141
151;0.030944688;2;0.015472344;0.029;0.325;0.177;0;9.193954546
3170;0.0254469;1;0.0254469;0;0;0;0;9.172045184
3383;0.0254469;1;0.0254469;0;0;0;0;9.085499087
2248;0.038013271;1;0.038013271;0;0;0;0;9.070104129
2041;0.022698007;1;0.022698007;0;0;0;0;9.068384775
3329;0.0254469;1;0.0254469;0;0;0;0;9.066065805
3130;0.022698007;1;0.022698007;0;0;0;0;8.96420473
2960;0.034636059;1;0.034636059;0;0;0;0;8.955717259
3384;0.031415927;1;0.031415927;0;0;0;0;8.932855334
3139;0.022698007;1;0.022698007;0;0;0;0;8.895631936
3544;0.0254469;1;0.0254469;0;0;0;0;8.895326313
2290;0.0254469;1;0.0254469;0;0;0;0;8.789097692
3462;0.028352874;1;0.028352874;0;0;0;0;8.661574494
2952;0.022698007;1;0.022698007;0;0;0;0;8.607790869
2664;0.031415927;1;0.031415927;0;0;0;0;8.596447241
2713;0.0254469;1;0.0254469;0;0;0;0;8.508870499
3228;0.034636059;1;0.034636059;0;0;0;0;8.451963672
193;0.030473449;2;0.015236725;0.341;0.002;0.1715;0;8.319530541
2154;0.020106193;1;0.020106193;0;0;0;0;8.310732945
2931;0.0254469;1;0.0254469;0;0;0;0;8.276504123
94;0.038013271;1;0.038013271;0;0;0;0;8.251278779
3027;0.031415927;1;0.031415927;0;0;0;0;8.230965886
2382;0.031415927;1;0.031415927;0;0;0;0;8.068203712
2166;0.0254469;1;0.0254469;0;0;0;0;8.058075134
3456;0.031415927;1;0.031415927;0;0;0;0;8.032169707
3356;0.053092916;1;0.053092916;0;0;0;1;7.959072568
2093;0.028352874;1;0.028352874;0;0;0;0;7.937174304
2476;0.034636059;1;0.034636059;0;0;0;0;7.818081859
180;0.030944688;2;0.015472344;0.523;0.064;0.2935;0;7.793839079
67;0.026703538;2;0.013351769;0.459;0.552;0.5055;0;7.782610376
2341;0.034636059;1;0.034636059;0;0;0;0;7.758369565
3169;0.0254469;1;0.0254469;0;0;0;0;7.754754821
3502;0.031415927;1;0.031415927;0;0;0;0;7.57812927
2251;0.041547563;1;0.041547563;0;0;0;0;7.539897925
143;0.016336282;2;0.008168141;0.382;0.079;0.2305;0;7.485217219
2276;0.031415927;1;0.031415927;0;0;0;0;7.445030096
2273;0.038013271;1;0.038013271;0;0;0;0;7.431102172
2053;0.038013271;1;0.038013271;0;0;0;0;7.368502535
3174;0.034636059;1;0.034636059;0;0;0;0;7.333813766
257;0.038013271;1;0.038013271;0;0;0;0;7.23109197
2244;0.038013271;1;0.038013271;0;0;0;0;7.213439901
2774;0.0254469;1;0.0254469;0;0;0;0;7.168973188
3204;0.028352874;1;0.028352874;0;0;0;0;7.124020239
2982;0.053092916;1;0.053092916;0;0;0;0;7.101754814
2184;0.045238934;1;0.045238934;0;0;0;0;7.061623225
2656;0.034636059;1;0.034636059;0;0;0;0;7.015195116
2144;0.045238934;1;0.045238934;0;0;0;0;6.991092001
2497;0.031415927;1;0.031415927;0;0;0;0;6.989753273
2175;0.041547563;1;0.041547563;0;0;0;0;6.972183792
3313;0.041547563;1;0.041547563;0;0;0;0;6.967359291
3543;0.034636059;1;0.034636059;0;0;0;0;6.868450702
2477;0.041547563;1;0.041547563;0;0;0;0;6.867974524
3381;0.031415927;1;0.031415927;0;0;0;0;6.865743573
75;0.031808626;2;0.015904313;0.081;0.364;0.2225;0;6.859202414
2530;0.041547563;1;0.041547563;0;0;0;0;6.831613526
3557;0.031415927;1;0.031415927;0;0;0;0;6.811960703
3536;0.045238934;1;0.045238934;0;0;0;0;6.806692794
2250;0.049087385;1;0.049087385;0;0;0;0;6.62998709
2506;0.031415927;1;0.031415927;0;0;0;0;6.578638397
2599;0.038013271;1;0.038013271;0;0;0;1;6.570714184
3120;0.041547563;1;0.041547563;0;0;0;0;6.560033108
2718;0.020106193;1;0.020106193;0;0;0;0;6.420168151
2527;0.049087385;1;0.049087385;0;0;0;0;6.39479413
3636;0.045238934;1;0.045238934;0;0;0;0;6.317634991
2177;0.053092916;1;0.053092916;0;0;0;0;6.266902877
3260;0.038013271;1;0.038013271;0;0;0;0;6.237114038
2679;0.041547563;1;0.041547563;0;0;0;0;6.15986787
2544;0.045238934;1;0.045238934;0;0;0;0;6.114530034
2275;0.041547563;1;0.041547563;0;0;0;0;6.096629963
3299;0.038013271;1;0.038013271;0;0;0;0;5.943056007
2916;0.049087385;1;0.049087385;0;0;0;0;5.930247605
107;0.031180307;2;0.015590154;0.009;0.191;0.1;0;5.923074849
2216;0.045238934;1;0.045238934;0;0;0;0;5.907743395
2863;0.028352874;1;0.028352874;0;0;0;0;5.901282438
2195;0.045238934;1;0.045238934;0;0;0;0;5.764442101
2238;0.045238934;1;0.045238934;0;0;0;0;5.607210112
3333;0.049087385;1;0.049087385;0;0;0;0;5.554362118
3055;0.041547563;1;0.041547563;0;0;0;0;5.512302966
3108;0.053092916;1;0.053092916;0;0;0;0;5.457373677
2653;0.053092916;1;0.053092916;0;0;0;0;5.360300141
158;0.050893801;2;0.025446901;0.557;0.456;0.5065;0;5.353146795
2492;0.031415927;1;0.031415927;0;0;0;0;5.291017756
3547;0.045238934;1;0.045238934;0;0;0;0;5.218922949
2036;0.045238934;1;0.045238934;0;0;0;0;5.211439205
274;0.038720129;2;0.019360065;0.002;0.304;0.153;0;5.200965523
3332;0.049087385;1;0.049087385;0;0;0;0;5.183506703
2258;0.045238934;1;0.045238934;0;0;0;0;5.17363688
2390;0.038013271;1;0.038013271;0;0;0;0;5.160357828
115;0.045238934;3;0.015079645;0.73;0.613;0.6715;0;5.159554496
88;0.053171456;3;0.017723819;0.5;0.372;0.436;0;5.155431638
2734;0.034636059;1;0.034636059;0;0;0;0;5.134117279
2213;0.041547563;1;0.041547563;0;0;0;0;5.121352439
2886;0.031415927;1;0.031415927;0;0;0;0;5.116399969
3478;0.049087385;1;0.049087385;0;0;0;0;5.101383995
2504;0.070685835;1;0.070685835;0;0;0;0;5.08700543
153;0.0512865;2;0.02564325;0.455;0.297;0.376;0;5.086036385
341;0.035499997;2;0.017749999;0.64;0.217;0.4285;0;5.045633822
277;0.039662607;2;0.019831304;0.125;0.062;0.0935;0;4.966949
