planta	celda	y	x	n.infrut	copa	vecino	x.diam	x.peso	x.az	x.pulpa	x.sem	p.a.visitas	frut.cons
A2-1	A2	7036536.476	3566228.943	7	1.18	0.58	7.368	0.270	9.850	0.237	0.033	0	0
A2-2	A2	7036536.433	3566237.229	7	1.47	0.31	7.533	0.290	12.400	0.245	0.044	0	0
A2-3	A2	7036534.690	3566217.332	8	1.29	0.52	7.144	0.248	10.450	0.213	0.035	0	0
A2-4	A2	7036536.615	3566202.426	7	1.26	0.6	7.327	0.275	11.050	0.245	0.030	0	0
B7-1	B7	7036561.118	3566108.088	12	1.79	0.66	6.952	0.204	11.100	0.177	0.027	0	0
B7-2	B7	7036546.283	3566119.612	3	1.17	0.98	6.005	0.134	11.250	0.110	0.029	0	0
B7-3	B7	7036549.898	3566134.546	12	1.63	1.5	7.265	0.270	12.450	0.227	0.042	0	0
C3-1	C3	7036483.120	3566190.545	4	0.85	0.2	6.626	0.184	13.100	0.157	0.027	0	0
C3-2	C3	7036484.959	3566192.212	9	1.26	0.65	7.843	0.290	11.150	0.249	0.041	0	0
C3-3	C3	7036484.985	3566187.240	10	1.26	0.71	7.395	0.227	11.750	0.198	0.029	0	0
C3-4	C3	7036481.300	3566185.564	12	1.06	0.71	8.008	0.247	11.550	0.218	0.029	0	0
E3-1	E3	7036455.454	3566183.771	5	0.99	0.45	6.457	0.160	13.050	0.132	0.028	0	0
E3-2	E3	7036461.029	3566177.171	13	1.21	0.45	7.595	0.253	12.550	0.221	0.032	0	0
E3-3	E3	7036462.832	3566185.467	8	1.59	0.51	7.393	0.223	13.000	0.189	0.034	0	0
E3-4	E3	7036462.841	3566183.810	6	1.03	0.59	5.992	0.126	19.700	0.106	0.020	0	0
E8-1	E8	7036503.921	3566097.845	93	2.16	0.84	6.143	0.158	11.350	0.132	0.027	0	0
E8-2	E8	7036503.912	3566099.502	35	1.7	0.84	6.887	0.199	12.900	0.166	0.033	0	0
E8-3	E8	7036505.759	3566099.512	83	3.03	0.88	6.451	0.183	13.500	0.156	0.027	0	0
E8-4	E8	7036503.929	3566096.188	6	1.46	0.95	6.504	0.181	13.750	0.153	0.027	0	0
E8-5	E8	7036509.452	3566099.531	23	1.36	0.74	6.046	0.158	16.200	0.124	0.035	1	3
G3-1	G3	7036425.941	3566176.987	7	0.77	1.82	6.215	0.150	18.560	0.123	0.027	0	0
G3-2	G3	7036407.682	3566137.117	13	1.5	0.37	6.468	0.184	15.350	0.149	0.034	0	0
G3-3	G3	7036416.698	3566178.596	6	1.37	0.42	7.160	0.235	15.150	0.204	0.039	0	0
G3-4	G3	7036416.707	3566176.939	4	0.99	0.43	6.874	0.190	12.850	0.163	0.027	0	0
G8-1	G8	7036433.848	3566077.591	26	1.65	0.6	6.086	0.164	11.200	0.135	0.029	0	0
G8-2	G8	7036431.941	3566089.182	12	1.56	0.6	6.417	0.183	10.950	0.156	0.027	0	0
G8-3	G8	7036441.270	3566071.001	26	1.36	1	7.050	0.250	9.400	0.209	0.041	0	0
G8-4	G8	7036443.082	3566077.639	15	2.7	1.3	6.382	0.185	13.750	0.157	0.028	0	0
G8-5	G8	7036435.660	3566084.230	18	1.08	0.97	7.029	0.229	13.050	0.199	0.030	1	1
H8	H8	7036439.354	3566084.249	16	2.52	0.77	7.441	0.224	9.630	0.200	0.024	1	3
I2-1	I2	7036355.591	3566209.764	14	1.43	0.8	8.102	0.295	11.450	0.259	0.036	0	0
I2-2	I2	7036359.293	3566208.127	45	1.57	1.01	8.084	0.238	11.400	0.212	0.024	0	0
I2-3	I2	7036357.446	3566208.117	15	1.4	0.84	7.800	0.239	13.560	0.207	0.029	0	0
I2-4	I2	7036355.599	3566208.107	4	0.82	0.7	7.790	0.231	12.940	0.193	0.038	0	0
I3-1	I3	7036368.718	3566171.716	16	1.59	1.65	8.639	0.293	12.550	0.255	0.039	0	0
I3-2	I3	7036368.752	3566165.087	16	1.46	0.6	7.894	0.259	13.400	0.228	0.031	0	0
I3-3	I3	7036374.327	3566158.487	4	0.77	0.21	8.165	0.248	11.950	0.207	0.041	0	0
I3-4	I3	7036374.336	3566156.830	21	1.5	1.01	8.707	0.292	13.400	0.249	0.043	0	0
I3-5	I3	7036366.845	3566176.678	43	1.33	0.35	9.952	0.392	13.750	0.347	0.045	1	1
I3-6	I3	7036368.683	3566178.345	37	1.29	0.25	7.967	0.258	15.100	0.221	0.037	1	4
I8-1	I8	7036426.418	3566085.839	20	1.6	1.4	7.099	0.192	9.900	0.160	0.033	0	0
I8-2	I8	7036424.571	3566085.829	6	1.4	1.4	7.533	0.242	11.000	0.201	0.041	0	0
I8-3	I8	7036426.461	3566077.553	5	1.34	2.23	7.584	0.230	9.700	0.190	0.040	0	0
I8-4	I8	7036432.027	3566072.610	17	1.56	2	6.844	0.173	11.400	0.150	0.022	0	0
J2-1	J2	7036342.863	3566171.580	21	1.41	0.76	8.715	0.312	12.300	0.272	0.040	1	1
J2-2	J2	7036348.369	3566178.238	11	0.83	0.74	8.346	0.251	10.450	0.226	0.025	0	0
J2-3	J2	7036342.785	3566186.495	10	1.14	0.69	6.792	0.230	11.700	0.205	0.025	0	0
J2-4	J2	7036344.684	3566176.562	32	1.33	0.32	8.781	0.410	11.800	0.366	0.044	0	0
J2-5	J2	7036352.001	3566189.858	14	1.21	0.73	9.270	0.377	10.950	0.330	0.047	1	1
J2-6	J2	7036331.757	3566176.494	9	1.07	0.28	9.644	0.389	10.100	0.347	0.042	1	1
J2-7	J2	7036366.836	3566178.335	22	0.66	0.65	8.016	0.255	10.700	0.227	0.028	1	6
J7-1	J7	7036385.737	3566095.570	8	2.24	1	6.361	0.190	12.750	0.156	0.034	0	0
J7-2	J7	7036387.575	3566097.237	14	2.44	0.67	6.049	0.159	13.830	0.137	0.024	0	0
J7-3	J7	7036383.891	3566095.560	13	1.18	2.1	5.658	0.142	11.450	0.118	0.024	0	0
