Species	Locality	Code	PLD	Size_of_settlement	Pre-settlement_growth	Hatching_day_date	Hatching_day_numeric	ChlA	SST	T_loc	Season
Coris_julis	AGUAMARGA	CdG30	27	112.8	4.2	15/05/2015	139	0.171	21.1	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG29	24	103.8	4.3	19/05/2015	143	0.169	21.3	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG14	28	114.2	4.1	20/05/2015	144	0.168	21.4	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG19	29	114.2	3.9	20/05/2015	144	0.167	21.4	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG24	31	123.7	4	20/05/2015	144	0.167	21.5	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG25	30	123.6	4.1	20/05/2015	144	0.167	21.5	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG26	25	101.9	4.1	20/05/2015	144	0.168	21.4	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG02	27	100.1	3.7	21/05/2015	145	0.167	21.4	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG23	30	123.7	4.1	21/05/2015	145	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG01	28	114.3	4.1	22/05/2015	146	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG13	27	105.3	3.9	22/05/2015	146	0.166	21.5	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG21	28	113.1	4	22/05/2015	146	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG05	30	120.3	4	23/05/2015	147	0.165	21.8	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG15	27	114.5	4.2	23/05/2015	147	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG17	27	110	4.1	23/05/2015	147	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG27	25	109.4	4.4	23/05/2015	147	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG07	26	106.6	4.1	24/05/2015	148	0.165	21.9	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG16	28	122.8	4.4	24/05/2015	148	0.165	21.8	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG28	25	114.7	4.6	24/05/2015	148	0.166	21.6	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG08	27	108.7	4	25/05/2015	149	0.164	21.8	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG10	24	105.3	4.4	25/05/2015	149	0.165	21.7	19.9	Spring/Summer
Coris_julis	AGUAMARGA	CdG18	28	105.4	3.8	25/05/2015	149	0.164	21.9	19.9	Spring/Summer
