Sample	season	month	Area	depth	temperature	salinity	transparency	gravel	large_sand	med_fine_sand	mud	Solea_solea
1	1	5	2	3	20	30	15	3.74	13.15	11.93	71.18	0
2	1	5	2	2.6	18	29	15	1.94	4.99	5.43	87.63	0
3	1	5	2	2.6	19	30	15	2.88	8.98	16.85	71.29	1
4	1	5	4	2.1	20	29	15	11.06	11.96	21.95	55.03	0
5	1	5	4	3.2	20	30	15	9.87	28.60	19.49	42.04	0
6	1	5	4	3.5	20	32	7	32.45	7.39	9.43	50.72	0
7	1	5	3	1.6	19	29	15	6.77	14.55	9.88	68.80	1
8	1	5	3	1.7	17	28	10	22.61	34.15	6.50	36.75	1
9	1	5	3	1.8	19	29	10	4.45	15.43	7.88	72.24	0
10	1	5	1	4.5	21	12	35	3.54	15.16	44.88	36.42	1
11	1	5	1	6	22	17	30	2.14	36.89	44.33	16.65	0
12	1	5	1	4	22	3	35	3.10	37.90	35.27	23.73	1
13	1	5	1	4	22	2	35	2.96	40.24	36.81	20.00	1
14	1	6	2	2.7	21	28	10	3.64	13.08	10.34	72.94	0
15	1	6	2	2.2	21	29	10	1.03	3.14	4.42	91.40	1
16	1	6	2	2.5	21	28	5	1.33	7.08	14.11	77.48	1
17	1	6	4	2.8	21	30	10	10.84	11.22	20.70	57.24	0
18	1	6	4	4	21	30	5	8.43	26.45	19.06	46.06	0
19	1	6	4	3.2	22	30	40	31.49	6.46	9.38	52.67	0
20	1	6	3	2.3	20	30	20	5.08	12.11	11.78	71.03	0
21	1	6	3	1.7	20	30	15	24.13	37.24	6.44	32.19	1
22	1	6	3	2	21	31	10	3.37	17.03	4.47	75.13	0
23	1	6	1	6.5	22	4	40	1.42	12.53	41.57	44.48	1
24	1	6	1	3.5	24	7	20	1.77	37.71	49.10	11.43	1
25	1	6	1	9	23	12	35	3.72	39.08	38.03	19.17	1
26	1	6	1	2.5	23	16	40	0.62	35.59	34.54	29.25	1
27	2	7	2	2.3	23	29	25	0.46	16.22	7.08	76.24	1
28	2	7	2	2	23	29	10	1.63	3.98	1.57	92.82	0
29	2	7	2	2.4	23	30	15	0.04	3.01	13.51	83.44	0
30	2	7	4	2.4	24	25	25	7.88	14.37	21.93	55.82	0
31	2	7	4	2	24	27	20	6.60	23.70	21.41	48.29	0
32	2	7	4	1.6	25	29	30	31.29	5.81	12.04	50.86	0
33	2	7	3	1.3	27	27	20	8.59	9.33	14.51	67.57	0
34	2	7	3	1.25	26	25	20	28.59	33.23	9.31	28.87	1
35	2	7	3	1.7	26	25	20	7.15	13.12	0.91	78.82	0
36	2	7	1	4.5	25	10	60	1.96	9.55	44.92	43.57	1
37	2	7	1	4.25	25	12	80	1.20	40.71	51.56	6.53	0
38	2	7	1	4	25	14	50	6.85	43.24	37.79	12.12	1
39	2	7	1	5	25	4	60	1.05	32.19	31.19	35.57	1
40	2	8	4	2.25	24	30	25	2.62	13.10	9.48	74.80	1
41	2	8	4	3.7	24	32	25	2.82	2.33	0.55	94.31	0
42	2	8	4	2.2	24	32	40	1.96	0.34	8.58	89.11	0
43	2	8	3	2	24	30	20	11.94	16.88	22.42	48.76	0
44	2	8	3	1.7	24	32	15	7.66	25.90	25.87	40.57	0
45	2	8	3	1.7	24	34	15	27.23	10.34	11.20	51.23	0
46	2	8	2	2.7	22	30	30	9.20	13.43	13.07	64.31	0
47	2	8	2	2.5	22	30	30	30.08	35.50	8.53	25.89	1
48	2	8	2	2	23	30	30	4.90	10.79	3.70	80.60	0
49	2	8	1	7	25	14	70	6.85	5.99	40.65	46.52	1
50	2	8	1	5	25	15	80	1.41	36.57	50.33	11.69	1
51	2	8	1	6	25	7	50	2.73	41.21	36.82	19.24	1
52	2	8	1	6.5	25	5	40	3.20	31.68	30.84	34.28	1
53	2	9	3	1.5	23	27	20	2.01	8.92	7.87	81.19	0
54	2	9	3	1.5	23	30	15	0.21	0.01	2.49	97.29	0
55	2	9	3	1.5	23	31	15	5.49	4.03	5.50	84.98	0
56	2	9	2	3.2	19	30	20	7.33	13.31	26.61	52.76	0
57	2	9	2	2.5	19	34	20	10.68	24.88	26.46	37.98	0
58	2	9	2	3.5	18	33	5	26.22	10.57	12.83	50.38	1
59	2	9	4	2.8	17	33	15	6.45	9.20	16.02	68.33	0
60	2	9	4	2.1	19	31	7	30.00	35.74	8.30	25.96	0
61	2	9	4	4	19	31	10	8.13	7.88	1.29	82.70	0
62	2	9	1	5	21	10	30	10.47	10.34	43.04	36.14	1
63	2	9	1	4.8	21	16	50	3.62	35.92	45.72	14.75	0
64	2	9	1	1.4	22	19	30	1.51	44.54	34.83	19.12	0
65	2	9	1	2.5	21	5	25	1.27	27.40	29.44	41.89	0
