point	id	date.number	date	season	habitat.type	agebad	amabra	bascul	carpla	chlluc	colmel	cycguj	elapar	furruf	geoaeq	guigui	ictpyr	lepang	macrix	micmel	milchi	mimsat	molbon	myifas	myimac	myimon	pacpol	parcor	patpic	phastr	pitsul	poldum	poonig	rossoc	rupmag	schphr	sersub	sicfla	siclut	spimag	spocae	synspi	troaed	turama	turruf	vanchi	viroli	zenaur	zoncap
1	point1.1	1	22-Mar-2011	fall	open	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	point10.1	1	22-Mar-2011	fall	open	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	point2.1	1	22-Mar-2011	fall	forest	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	point3.1	1	22-Mar-2011	fall	open	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
4	point4.1	1	22-Mar-2011	fall	open	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	point5.1	1	22-Mar-2011	fall	forest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	point6.1	1	22-Mar-2011	fall	forest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	point7.1	1	22-Mar-2011	fall	forest	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
8	point8.1	1	22-Mar-2011	fall	open	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	point9.1	1	22-Mar-2011	fall	open	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
