mes	largo	peso.seco
11	28.38	0.248
11	16.57	0.052
11	13.69	0.028
11	17.44	0.07
11	11.83	0.022
11	28.13	0.187
11	32.58	0.361
11	15.7	0.05
11	18.73	0.087
11	21.52	0.128
11	20.17	0.105
11	16.72	0.054
11	15.99	0.065
11	16.85	0.061
11	21.54	0.118
11	13.06	0.03
11	13.75	0.038
11	16.42	0.058
11	11.08	0.022
11	13.5	0.036
11	12.67	0.016
11	22.56	0.128
12	24.1	0.167
12	24.09	0.134
12	24.01	0.105
12	23.42	0.145
12	23.24	0.148
12	24.11	0.11
12	23.09	0.145
12	23.82	0.15
12	23.31	0.1
12	24.11	0.147
12	21.09	0.081
12	22.53	0.137
12	22.69	0.136
12	22.21	0.097
12	20.65	0.098
12	21.91	0.126
12	20.45	0.098
12	22.66	0.131
12	21.35	0.088
12	22.75	0.135
12	21.82	0.14
12	22.04	0.124
12	21.13	0.11
12	22.24	0.133
12	21.95	0.128
12	22.5	0.127
12	20.51	0.108
12	22.88	0.135
12	22.04	0.139
12	22.17	0.088
12	21.23	0.108
12	19.64	0.102
12	20.55	0.06
12	20.54	0.085
12	21.63	0.116
12	22.3	0.126
12	21.91	0.077
12	22.33	0.129
12	21.82	0.127
12	22.56	0.124
12	20.18	0.092
12	21.28	0.093
12	22.27	0.101
12	19.74	0.079
12	21.69	0.107
12	21.81	0.116
12	22.25	0.117
12	22.04	0.133
12	20.91	0.117
12	20.37	0.113
12	20.37	0.098
12	20.03	0.079
12	21.88	0.084
12	21.9	0.107
12	21.61	0.12
12	20.01	0.103
12	20.02	0.109
12	20.54	0.066
3	11.2	0.012
3	11	0.013
3	10.65	0.014
3	10.3	0.011
3	10.45	0.013
3	9.78	0.009
3	10.53	0.011
3	10.36	0.011
3	9.89	0.01
3	9.57	0.009
3	9.77	0.009
3	10	0.01
3	10.05	0.011
3	9.62	0.009
3	9.9	0.009
3	10.23	0.01
9	16.31	0.039
9	15.56	0.054
9	16.07	0.033
9	16.03	0.052
9	15.78	0.031
9	15.52	0.036
9	15.83	0.032
9	15.86	0.031
9	8.6	0.004
9	8.67	0.006
9	8.68	0.006
9	9.29	0.007
9	8.86	0.007
9	8.93	0.006
9	9.26	0.006
2	17.77	0.065
2	20.93	0.114
2	21.76	0.138
2	17.75	0.062
2	21.55	0.112
2	19.77	0.094
2	20.08	0.099
2	19.77	0.104
2	20.83	0.116
2	22.7	0.135
2	22.98	0.138
2	19.94	0.098
2	20.76	0.119
2	14.7	0.034
2	22.17	0.153
2	22.36	0.121
2	21.08	0.096
2	17.14	0.053
2	17.44	0.056
2	23.55	0.175
2	23.81	0.161
2	23.76	0.162
2	24.78	0.164
2	18.54	0.097
2	19.13	0.08
2	19.35	0.091
2	18.59	0.068
2	24.06	0.164
2	17.07	0.056
2	19.82	0.089
2	19.57	0.077
2	17.75	0.065
2	18.77	0.078
2	17.93	0.066
2	23.19	0.14
2	16.33	0.047
2	22.82	0.148
2	24.79	0.173
2	22.8	0.147
2	19.09	0.077
2	19.31	0.085
2	18.79	0.072
2	17	0.042
2	17.84	0.069
2	18.3	0.071
2	17.8	0.069
2	17.71	0.064
2	20.82	0.098
2	21.5	0.121
2	20.93	0.116
2	20.87	0.132
2	23.83	0.075
2	21.09	0.104
2	21.43	0.1
2	26.5	0.236
2	26.66	0.213
2	26.9	0.245
2	26.08	0.203
2	22.52	0.115
2	22.71	0.155
2	22.34	0.13
2	22.21	0.115
2	22.05	0.119
2	22.87	0.136
2	22.27	0.124
2	22.77	0.142
2	22.78	0.146
2	22.89	0.099
2	21.98	0.119
2	22.25	0.127
2	22.02	0.13
2	22.66	0.136
2	25.67	0.195
2	25.29	0.196
2	25.56	0.186
2	26.03	0.207
2	25.82	0.208
2	20.49	0.118
2	20.28	0.095
2	20.29	0.095
2	19.89	0.085
2	20.25	0.106
2	20.05	0.114
2	20.53	0.085
2	30.32	0.366
2	27.42	0.252
2	30.85	0.312
2	34.19	0.565
2	31.63	0.42
2	19.74	0.097
2	24.07	0.154
2	24.66	0.155
2	25.43	0.199
2	30.59	0.314
2	24.3	0.147
2	23.63	0.133
2	24.87	0.171
2	23.45	0.145
2	25.15	0.172
2	31.32	0.338
2	30.37	0.336
2	24.65	0.161
2	24.03	0.17
2	25.42	0.198
2	24.12	0.153
2	22.94	0.142
2	26.45	0.224
2	19.2	0.092
2	24.91	0.163
2	24.54	0.123
2	18.74	0.077
2	14.19	0.029
