trat	Species	total.time	duration
Puma_Kill	Black_Bear	323	11.96
Puma_Kill	Black_Bear	18	2.57
Puma_Kill	Black_Bear	171	3.72
Puma_Kill	Black_Bear	31	3.86
Puma_Kill	Black_Bear	109	3.76
Puma_Kill	Black_Bear	127	3.75
Puma_Kill	Black_Bear	538	7.69
Puma_Kill	Black_Bear	186	15.50
Puma_Kill	Black_Bear	249	4.79
Puma_Kill	Black_Bear	30	15.00
Puma_Kill	Black_Bear	694	28.92
Puma_Kill	Black_Bear	55	2.62
Puma_Kill	Black_Bear	110	18.33
Puma_Kill	Black_Bear	208	13.00
Puma_Kill	Black_Bear	74	2.96
Puma_Kill	Black_Bear	297	18.56
Puma_Kill	Black_Bear	63	3.71
Puma_Kill	Black_Bear	178	25.43
Puma_Kill	Black_Bear	52	7.43
Puma_Kill	Black_Bear	175	3.57
Puma_Kill	Black_Bear	385	10.41
Puma_Kill	Black_Bear	144	9.00
Puma_Kill	Black_Bear	133	12.09
Puma_Kill	Black_Bear	285	8.91
Puma_Kill	Black_Bear	25	2.50
Puma_Kill	Black_Bear	121	17.30
Puma_Kill	Black_Bear	48	9.60
Puma_Kill	Black_Bear	62	3.21
Puma_Kill	Black_Bear	33	2.54
Puma_Kill	Black_Bear	529	9.80
Puma_Kill	Black_Bear	181	16.45
Control	Black_Bear	138	5.75
Control	Black_Bear	73	12.17
Control	Black_Bear	39	2.60
Control	Black_Bear	84	14.00
Control	Black_Bear	38	2.92
Control	Black_Bear	103	12.88
Control	Black_Bear	433	20.62
Control	Black_Bear	710	78.89
Control	Black_Bear	270	10.80
Control	Black_Bear	164	20.50
Control	Black_Bear	60	6.00
Control	Black_Bear	49	8.17
Control	Black_Bear	93	13.29
Control	Black_Bear	14	14.00
Control	Black_Bear	420	19.09
Control	Black_Bear	249	22.64
Control	Black_Bear	218	6.06
Control	Black_Bear	38	7.60
Control	Black_Bear	55	6.88
Control	Black_Bear	6	1.20
Control	Black_Bear	92	15.33
Control	Black_Bear	1079	29.97
